season,batter_id,batter_name,batter_stance,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,seager_a_hittable_swings,seager_b_avoid_swings,seager_c_hittable_takes,seager_d_avoid_takes,hittable_pitches,avoid_pitches,selection_tendency_pct,hittable_pitches_taken_pct,hittable_avoidance_pct,seager_raw,seager_correct_pct,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,seager_plus,selection_tendency_plus,hittable_avoidance_plus,za_with_contact_plus,z_za_with_contact_plus,o_za_with_contact_plus,zone_awareness_raw,zone_awareness_plus,z_zone_awareness_raw,z_zone_awareness_plus,o_zone_awareness_raw,o_zone_awareness_plus,terminal_plate_appearances,walks,strikeouts,hit_by_pitch,bb_pct,k_pct,hbp_pct,z_swing_pct,o_swing_pct,heart_swing_pct,shadow_in_swing_pct,shadow_out_swing_pct,chase_swing_pct,waste_swing_pct,shadow_in_pitches,shadow_out_pitches,heart_vs_chase_residual,zone_vs_out_residual,out_zone_take_pct,bb_vs_oza_residual,bb_vs_oza_residual_z,bb_vs_oza_residual_outlier,k_vs_zza_residual,k_vs_zza_residual_z,k_vs_zza_residual_outlier,za_with_contact_value,za_with_contact_per_100
2022,52125,ê°€ë¥´ì‹œì•„,,679,True,47.717231,49.766863,43.963894,6.4748,55.910039,324,3.652213,355,9.050908,355,5.135301,324,7.942462,203,121,74,281,277,402,58.057851,20.84507,79.15493,37.212781,71.281296,188,7.459995,12.106748,-6.884327,291,2.178008,-0.245305,5.096999,151,10.447125,-21.601635,16.205887,49,15.971307,,15.971307,100.679,94.466,106.652,123.69,124.495,118.334,37.212781,100.679,58.057851,94.466,79.15493,106.652,157,19,40,1,12.1019,25.4777,0.6369,69.2958,24.0741,75.5319,62.2754,44.3548,15.2318,0.0,167,124,5.35895,4.913655,75.9259,2.676485,1.278453,False,4.655465,0.676231,False,43.963894,6.4748
2022,64906,ê°•ë¯¼êµ­,,15,False,33.333333,36.257569,2.720729,18.13819,85.438007,5,1.854952,10,26.27981,6,6.294858,9,26.033745,2,3,1,9,3,12,81.818182,10.0,90.0,71.818182,73.333333,1,10.230535,10.230535,,7,1.11248,-0.238944,2.914378,4,46.617131,,46.617131,3,22.528813,,22.528813,204.637,188.473,151.047,310.606,152.11,279.069,71.818182,204.637,81.818182,188.473,90.0,151.047,4,1,1,0,25.0,25.0,0.0,66.6667,11.1111,100.0,60.0,50.0,0.0,0.0,5,2,32.243951,8.202474,88.8889,,,,,,,2.720729,18.13819
2022,74540,ê°•ë¯¼í˜¸,,1600,True,42.1875,44.448306,93.665778,5.854111,56.067131,675,2.3775,925,8.391097,744,4.08937,856,7.387952,410,265,207,718,617,983,63.652482,22.378378,77.621622,41.274104,70.5,419,5.974645,10.871935,-4.216039,625,1.578939,-0.486143,3.54722,382,8.135121,-15.245615,14.037798,174,15.912346,-14.975904,17.795776,112.88,116.601,100.375,113.743,99.587,113.407,41.274104,112.88,63.652482,116.601,77.621622,100.375,438,38,58,3,8.6758,13.242,0.6849,62.0968,24.8832,67.5418,55.0769,42.0,20.1571,5.7471,325,300,-3.412671,-2.654718,75.1168,0.419468,0.200364,False,-6.498095,-0.943883,False,93.665778,5.854111
2022,68050,ê°•ë°±í˜¸,,1084,True,42.343173,45.077635,41.754111,3.851855,39.621969,459,0.528402,625,6.292599,512,3.239814,572,4.399697,261,198,166,459,427,657,63.75,26.56,73.44,37.19,66.420664,264,5.5129,11.280678,-4.580711,463,0.689832,-1.516718,2.687532,234,5.70285,-15.852131,12.806195,123,8.667857,-30.731992,13.324203,100.611,116.987,83.257,81.655,79.355,86.858,37.19,100.611,63.75,116.987,73.44,83.257,262,21,44,1,8.0153,16.7939,0.3817,57.6172,28.6713,63.6364,51.2097,43.2558,24.7863,10.5691,248,215,-8.052608,-8.863676,71.3287,-0.519965,-0.248367,False,-1.962261,-0.285029,False,41.754111,3.851855
2022,63123,ê°•ìŠ¹í˜¸,,1660,True,48.614458,45.175565,73.161538,4.407322,50.995447,807,1.522465,853,7.136605,828,3.580141,832,5.230525,499,308,206,647,705,955,56.457243,24.150059,75.849941,32.307184,69.036145,463,5.310355,8.581533,-3.438749,704,0.95227,-1.463854,3.80225,339,6.531892,-12.728906,11.910379,154,12.810065,-10.911984,15.369999,85.942,88.133,93.123,90.557,87.46,94.239,32.307184,85.942,56.457243,88.133,75.849941,93.123,483,28,100,3,5.7971,20.7039,0.6211,68.4783,28.8462,72.7862,63.0137,44.5428,21.8289,9.7403,365,339,1.566457,1.917577,71.1538,-1.713923,-0.818675,False,0.097691,0.01419,False,73.161538,4.407322
2022,62925,ê°•ì§„ì„±,,373,True,43.699732,43.649799,16.649671,4.463719,40.00805,163,-0.457267,210,8.283341,167,3.24855,206,5.448831,82,81,53,157,135,238,65.690377,25.238095,74.761905,40.452281,64.075067,90,5.183736,11.080251,-5.503697,156,0.054012,-3.074766,3.264056,89,5.850156,-17.295844,14.396372,38,17.61424,-29.59115,20.236762,110.411,124.664,88.669,91.461,79.563,96.179,40.452281,110.411,65.690377,124.664,74.761905,88.669,93,10,20,2,10.7527,21.5054,2.1505,61.0778,29.6117,64.4444,57.1429,44.3038,26.9663,5.2632,77,79,-7.590518,-5.832392,70.3883,2.594677,1.239377,False,1.834704,0.2665,False,16.649671,4.463719
2022,65514,ê°•íƒœìœ¨,,139,False,52.517986,52.187952,5.020321,3.611742,37.326716,73,2.070264,66,5.31671,81,3.641184,58,3.570625,48,25,22,44,70,69,47.826087,33.333333,66.666667,14.492754,66.18705,45,4.329456,9.242583,-6.549612,63,1.706682,-0.554326,4.92427,22,3.57083,-22.976148,11.378765,9,13.4586,,13.4586,32.426,53.984,55.53,77.807,88.914,79.492,14.492754,32.426,47.826087,53.984,66.666667,55.53,38,2,9,1,5.2632,23.6842,2.6316,67.9012,31.0345,68.8889,66.6667,48.1481,22.7273,0.0,36,27,-2.473396,0.341466,68.9655,,,,,,,5.020321,3.611742
2022,64610,ê°•í•œìš¸,,963,True,44.652129,46.506326,44.128394,4.582388,43.736264,430,1.384405,533,7.162374,474,3.905953,489,5.238073,258,172,137,396,395,568,60.550459,25.703565,74.296435,34.846894,67.912773,249,5.497117,11.571319,-5.049301,398,1.084219,0.113147,2.075008,207,6.970271,-16.386188,15.213727,109,10.731121,-21.815467,16.745164,93.572,104.328,86.763,93.362,95.219,94.306,34.846894,93.572,60.550459,104.328,74.296435,86.763,254,20,47,0,7.874,18.5039,0.0,60.3376,29.4479,63.4538,56.8889,42.1965,26.087,15.5963,225,173,-8.441596,-6.497813,70.5521,-0.349824,-0.167097,False,-0.971173,-0.141068,False,44.128394,4.582388
2022,51269,ê°•í˜„êµ¬,,19,False,31.578947,44.718591,1.086574,5.718811,72.848276,6,5.995286,13,5.591207,10,1.866888,9,9.998726,5,1,4,9,9,10,64.285714,30.769231,69.230769,33.516484,73.684211,5,4.84274,11.082573,-4.51701,8,1.548847,0.908,1.933355,4,7.344682,,7.344682,2,21.337103,,21.337103,89.575,119.106,66.027,111.575,46.66,136.603,33.516484,89.575,64.285714,119.106,69.230769,66.027,5,1,0,1,20.0,0.0,20.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,5,3,-7.756049,6.608257,100.0,,,,,,,1.086574,5.718811
2022,69517,ê³ ìŠ¹ë¯¼,,976,True,42.827869,46.298827,52.321376,5.360797,56.355898,418,2.189593,558,7.736358,488,3.460891,488,7.260703,273,145,134,424,407,569,60.832138,24.014337,75.985663,36.817801,71.413934,265,4.514735,8.693056,-4.647366,417,2.306637,-0.059382,4.384896,200,8.444361,-15.799718,14.131243,94,14.733971,-18.305872,15.823196,99.493,105.442,93.678,105.837,84.62,112.277,36.817801,99.493,60.832138,105.442,75.985663,93.678,255,23,45,0,9.0196,17.6471,0.0,61.8852,23.7705,68.6792,53.8117,38.6598,19.0,3.1915,223,194,-2.091668,-2.358344,76.2295,0.316948,0.151394,False,-2.037102,-0.2959,False,52.321376,5.360797
